manufacture,ASIN,description
Arctic Hunter,B09HV9QYFB,"Mens Sling Bag,Mens Shoulder Bag,Crossbody Bag for Men,Chest Bag,Daypack,Shockproof Compartment for iPad,Suitable for College,Outdoor Travels and Business Daily Use For Men, Black "
Skybags Unisex,B0B21XM4KX,Gucci Fabric Backpacks 
PUMA 26,B07JHJCZSM,Ltrs Puma Black Laptop Backpack 
ADISA SL5038,B08Q4FHQLN,women girls sling bag 
Lavie Sport,B07VJSDYJY,Polar X Cabin Size 63 cms Wheel Duffel Bag for Travel | Travel Bag with Trolley 
Arctic Hunter,B0B6FNPN76,Backpack for Men Premium Business Backpack Office Travel Laptop Bag with 15.6 Inch Laptop Pocket Water/Scratch-resistant Multiple Pocket Comfortable and Padded Backpack for Men 
Casual Waterproof,B08XWBCVZT,"Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Free Rain Cover (18 Inch, 34litr) (Black) "
JAVILANT 35L,B0C9J7CV3P,Waterproof Rain & Dust Cover for Backpack with Pouch | Rain Cover for Laptop/School/College & Office Bag Black Color with Orange Print 
Lunar's Heritage,B08CBJDBH4,37L Casual Water Resistant 3 Compartment Travel Bagpack/College Backpack/School Bag (Black) 
Tabelito® NEXA,B0C2D4T9R5,"3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY) "
ADISA 15.6,B09TPY1G1W,inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black) 
Gear Polyester,B098FG3GVX,23 Cms Travel Bag(DUFCRSTNG4314_Khaki) 
Wildcraft 44,B012D4QKHW,cms Polyester Black Laptop Bag (8903338054290) 
HAMMONDS FLYCATCHER,B07P2TQH78,"Genuine Leather Laptop Bag for Men - Office Bag, Brown Color - Fits Up to 14/15.6/16 Inch Laptop/MacBook - Laptop Messenger Bags/Leather Bag for Men with Adjustable Shoulder Strap "
F Gear,B078J63VRY,"Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag "
ZOUK Black,B07NHYLTY7,Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with double handles - FloMotif 
18 L,B0B4G9XT67,Attractive long lasting Printed Drawstring Polyester Multi Utility Bag for Sports/Gym/College/Yoga/Casual Backpack – Light Weight (Washable/Durability) 
AirCase Laptop,B07QL8633G,"Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather "
NORTH ZONE,B0BL3SDSGZ,Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office 
OMRON BAGS,B0BLJZGTMZ,Large 40 L Laptop Backpack For Men and Women 
Gear Solid,B019HA8JJW,22 Cms Cosmetic Pouch (Black) 
TUFFGEAR Polyester,B08R7HYFM1,Gym Bag Workout 23 Litre Gym Duffle Bag Yellow 
HYDER 35L,B0BR3KK8TR,"Latest And Trendy Stylish Waterproof College/Casual/School Bag/Backpack For Kids, Boys, Girls, Men And Women | Best Bags For Everyday Use "
30 L,B0BW9BTJCZ,Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue) 
LuvLap Lily,B07W6Z8XKB,Travel Multifunctional Waterproof Diaper Bag-Backpack Cum Tote Bag (Black) 
Storite Small,B09KNMWWPH,"Size Army Print Padded Nylon Cross Body Sling bag Office Travel One Side Bag for Men Women (25x19x7cm, GreenGrey) "
Impulse Impbee,B0C1CSS81H,45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with Rain Cover & 1 Year Warranty 
